zip_code,refnis,pop_dens,income_1y,income_17y,province,commune,big_5_dist,big_15_dist
7530,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7531,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7532,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7533,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7534,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7536,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7538,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7540,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7542,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7543,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7548,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7600,57064,283,19247.7,14834.54,Hainaut,Péruwelz,74,31
7601,57064,283,19247.7,14834.54,Hainaut,Péruwelz,74,31
7602,57064,283,19247.7,14834.54,Hainaut,Péruwelz,74,31
7603,57064,283,19247.7,14834.54,Hainaut,Péruwelz,74,31
7604,57064,283,19247.7,14834.54,Hainaut,Péruwelz,74,31
7608,57064,283,19247.7,14834.54,Hainaut,Péruwelz,74,31
7610,57072,222,19770.79,16039.14,Hainaut,Rumes,78,36
7611,57072,222,19770.79,16039.14,Hainaut,Rumes,78,36
7618,57072,222,19770.79,16039.14,Hainaut,Rumes,78,36
7620,57093,174,20916.44,15796.73,Hainaut,Brunehaut,81,39
7621,57093,174,20916.44,15796.73,Hainaut,Brunehaut,81,39
7622,57093,174,20916.44,15796.73,Hainaut,Brunehaut,81,39
7623,57093,174,20916.44,15796.73,Hainaut,Brunehaut,81,39
7624,57093,174,20916.44,15796.73,Hainaut,Brunehaut,81,39
7640,57003,243,19317.09,15200.77,Hainaut,Antoing,77,36
7641,57003,243,19317.09,15200.77,Hainaut,Antoing,77,36
7642,57003,243,19317.09,15200.77,Hainaut,Antoing,77,36
7643,57003,243,19317.09,15200.77,Hainaut,Antoing,77,36
7700,57096,1476,17739.5,14521.1,Hainaut,Mouscron,56,14
7711,57096,1476,17739.5,14521.1,Hainaut,Mouscron,56,14
7712,57096,1476,17739.5,14521.1,Hainaut,Mouscron,56,14
7730,57027,335,20259.62,15965.39,Hainaut,Estaimpuis,65,24
7740,57062,179,21008.52,16292.66,Hainaut,Pecq,60,18
7742,57062,179,21008.52,16292.66,Hainaut,Pecq,60,18
7743,57062,179,21008.52,16292.66,Hainaut,Pecq,60,18
7750,57095,142,21877.15,16977.0,Hainaut,Mont-de-l’Enclus,44,24
7760,57018,84,20815.68,16344.5,Hainaut,Celles,48,25
7780,57097,299,17470.37,14196.4,Hainaut,Comines-Warneton,68,23
7781,57097,299,17470.37,14196.4,Hainaut,Comines-Warneton,68,23
7782,57097,299,17470.37,14196.4,Hainaut,Comines-Warneton,68,23
7783,57097,299,17470.37,14196.4,Hainaut,Comines-Warneton,68,23
7784,57097,299,17470.37,14196.4,Hainaut,Comines-Warneton,68,23
7800,51004,234,22299.59,17497.43,Hainaut,Ath,56,26
7801,51004,234,22299.59,17497.43,Hainaut,Ath,56,26
7802,51004,234,22299.59,17497.43,Hainaut,Ath,56,26
7803,51004,234,22299.59,17497.43,Hainaut,Ath,56,26
7804,51004,234,22299.59,17497.43,Hainaut,Ath,56,26
7810,51004,234,22299.59,17497.43,Hainaut,Ath,56,26
7811,51004,234,22299.59,17497.43,Hainaut,Ath,56,26
7812,51004,234,22299.59,17497.43,Hainaut,Ath,56,26
7822,51004,234,22299.59,17497.43,Hainaut,Ath,56,26
7823,51004,234,22299.59,17497.43,Hainaut,Ath,56,26
7830,51068,123,25093.87,19361.94,Hainaut,Silly,50,27
7850,51067,368,22527.39,18603.35,Hainaut,Enghien,39,30
7860,51069,257,20057.53,16112.13,Hainaut,Lessines,45,36
7861,51069,257,20057.53,16112.13,Hainaut,Lessines,45,36
7862,51069,257,20057.53,16112.13,Hainaut,Lessines,45,36
7863,51069,257,20057.53,16112.13,Hainaut,Lessines,45,36
7864,51069,257,20057.53,16112.13,Hainaut,Lessines,45,36
